ticker,timestamp,signal,entry_price,stop_price,regime,shares
AAOI,2025-04-23 14:09:00+00:00,1,12.43000030517578,12.245,neutral,162
AAOI,2025-04-23 14:36:00+00:00,1,12.675999641418455,12.47,neutral,145
ACHR,2025-04-23 14:33:00+00:00,1,8.149999618530273,8.08,neutral,428
ACHR,2025-04-23 14:54:00+00:00,1,8.170000076293945,8.12,neutral,599
AEVA,2025-04-23 14:32:00+00:00,1,7.130000114440918,7.07,neutral,500
AOSL,2025-04-23 14:00:00+00:00,1,18.22599983215332,17.8299,neutral,75
AOSL,2025-04-23 13:54:00+00:00,1,18.349899291992188,18.03,neutral,93
AOSL,2025-04-23 13:54:00+00:00,1,18.349899291992188,18.03,neutral,93
ATXS,2025-04-23 14:14:00+00:00,1,5.21999979019165,5.13,neutral,333
BCAX,2025-04-23 14:29:00+00:00,1,15.414999961853027,15.135,neutral,107
BCAX,2025-04-23 14:29:00+00:00,1,15.414999961853027,15.135,neutral,107
BCAX,2025-04-23 15:12:00+00:00,1,15.960000038146973,15.56,neutral,75
COMM,2025-04-23 16:58:00+00:00,1,3.809999942779541,3.79,neutral,1500
COMM,2025-04-23 18:20:00+00:00,1,3.8550000190734863,3.8,neutral,545
COMM,2025-04-23 18:37:00+00:00,1,3.859999895095825,3.83,bearish,500
CRSR,2025-04-23 13:37:00+00:00,1,6.684999942779541,6.58,neutral,285
CRSR,2025-04-23 13:41:00+00:00,1,6.775000095367432,6.68,neutral,315
CRSR,2025-04-23 13:44:00+00:00,1,6.788000106811523,6.71,neutral,384
CRSR,2025-04-23 13:57:00+00:00,1,6.824999809265137,6.7443,neutral,371
CRSR,2025-04-23 14:39:00+00:00,1,6.900000095367432,6.825,neutral,399
CRSR,2025-04-23 14:43:00+00:00,1,6.934999942779541,6.87,neutral,461
DYN,2025-04-23 14:44:00+00:00,1,11.020000457763672,10.9,neutral,249
DYN,2025-04-23 14:51:00+00:00,1,11.09000015258789,10.95,neutral,214
DYN,2025-04-23 18:00:00+00:00,1,11.100000381469728,11.01,bearish,166
ENVX,2025-04-23 14:26:00+00:00,1,6.790299892425537,6.71,neutral,373
ENVX,2025-04-23 14:32:00+00:00,1,6.800000190734863,6.755,neutral,666
GLUE,2025-04-23 17:54:00+00:00,1,5.304999828338623,5.255,neutral,600
HCSG,2025-04-23 19:59:00+00:00,1,12.1899995803833,12.11,neutral,375
HOUS,2025-04-23 15:01:00+00:00,1,3.200000047683716,3.175,neutral,1199
IRBT,2025-04-23 14:35:00+00:00,1,2.1998000144958496,2.175,neutral,1209
KRRO,2025-04-23 15:21:00+00:00,1,19.475000381469727,18.86,neutral,48
LUNR,2025-04-23 14:30:00+00:00,1,8.175200462341309,8.01,neutral,181
LUNR,2025-04-23 14:30:00+00:00,1,8.175200462341309,8.075,neutral,299
MRVI,2025-04-23 14:33:00+00:00,1,2.150000095367432,2.12,neutral,999
MXL,2025-04-23 13:50:00+00:00,1,11.55500030517578,11.21,neutral,86
NGNE,2025-04-23 14:00:00+00:00,1,15.59000015258789,15.18,neutral,73
NVAX,2025-04-23 14:26:00+00:00,1,7.78000020980835,7.7106,neutral,432
QBTS,2025-04-23 14:09:00+00:00,1,6.909900188446045,6.77,neutral,214
QBTS,2025-04-23 14:18:00+00:00,1,6.930099964141846,6.87,neutral,499
QBTS,2025-04-23 14:22:00+00:00,1,7.005000114440918,6.92,neutral,352
QBTS,2025-04-23 17:18:00+00:00,1,7.079999923706055,7.01,neutral,428
QBTS,2025-04-23 14:29:00+00:00,1,7.119999885559082,7.06,neutral,500
QBTS,2025-04-23 15:04:00+00:00,1,7.195000171661377,7.13,neutral,461
QBTS,2025-04-23 14:34:00+00:00,1,7.34499979019165,7.27,neutral,400
RGNX,2025-04-23 15:41:00+00:00,1,8.729999542236328,8.67,neutral,500
RGNX,2025-04-23 18:10:00+00:00,1,8.960000038146973,8.895,neutral,461
SOUN,2025-04-23 14:11:00+00:00,1,8.960000038146973,8.85,neutral,272
SPCE,2025-04-23 19:14:00+00:00,1,2.9100000858306885,2.865,bearish,333
SPCE,2025-04-23 18:48:00+00:00,1,2.950000047683716,2.9109,bearish,383
TBCH,2025-04-23 13:58:00+00:00,1,11.949999809265137,11.815,neutral,222
TBCH,2025-04-23 13:58:00+00:00,1,11.949999809265137,11.815,neutral,222
VERV,2025-04-23 14:35:00+00:00,1,5.849999904632568,5.8174,neutral,921
WVE,2025-04-23 15:01:00+00:00,1,7.255000114440918,7.18,neutral,399
